term,coef,se,z,p,ci_low,ci_high
Intercept,6.36,0.3156,20.1501,0.0,5.7414,6.9786
"C(ModelLabel, Treatment('ChatGPT'))[T.Claude]",0.92,0.2822,3.26,0.0011,0.3669,1.4731
"C(ModelLabel, Treatment('ChatGPT'))[T.DeepSeek]",-0.7,0.2822,-2.4804,0.0131,-1.2531,-0.1469
"C(ModelLabel, Treatment('ChatGPT'))[T.Gemini]",0.4,0.2822,1.4174,0.1564,-0.1531,0.9531
"C(ModelLabel, Treatment('ChatGPT'))[T.Grok]",0.04,0.2822,0.1417,0.8873,-0.5131,0.5931
Group Var,0.2544,0.1636,1.5547,0.12,-0.0663,0.575
Node Var,0.2299,0.1055,2.1796,0.0293,0.0232,0.4367
