term,coef,se,z,p,ci_low,ci_high
Intercept,7.4,0.2793,26.4978,0.0,6.8526,7.9474
"C(ModelLabel, Treatment('ChatGPT'))[T.Claude]",0.6,0.245,2.4486,0.0143,0.1197,1.0803
"C(ModelLabel, Treatment('ChatGPT'))[T.DeepSeek]",-0.58,0.245,-2.367,0.0179,-1.0603,-0.0997
"C(ModelLabel, Treatment('ChatGPT'))[T.Gemini]",0.58,0.245,2.367,0.0179,0.0997,1.0603
"C(ModelLabel, Treatment('ChatGPT'))[T.Grok]",0.46,0.245,1.8773,0.0605,-0.0203,0.9403
Group Var,0.2925,0.1727,1.6935,0.0904,-0.046,0.6309
Node Var,0.1355,0.0823,1.6459,0.0998,-0.0259,0.2968
